sentence,relation,head,head_offset,tail,tail_offset
明朝末年抗清英雄黄得功，本姓王，安徽合肥人后改姓黄,出生地,黄得功,8,安徽合肥,16
《逐风行》是百度文学旗下纵横中文网签约作家清水秋风创作的一部东方玄幻小说，小说已于2014-04-28正式发布,连载网站,逐风行,1,纵横中文网,12
谢万松，字树人，湖北省武汉市人，武汉钢铁集团公司联合焦化公司退体职工，生于1940年,出生地,谢万松,0,湖北省武汉市,8
《娘家的故事第二部》是张玲执导，林在培、何赛飞等主演的电视剧,导演,娘家的故事第二部,1,张玲,11
九玄珠是在纵横中文网连载的一部小说，作者是龙马,连载网站,九玄珠,0,纵横中文网,5
《下半生留住你一直相爱》是商人醉猫写的网络小说连载于17k小说网,连载网站,下半生留住你一直相爱,1,17k小说网,26
个人简介梁信强，男，2010年广州亚运会中国澳门代表团成员,国籍,梁信强,4,中国,20
李春英，女，汉族，1970年1月生，山东临清市人，大学，1992年7月参加工作，1999年6月加入中国共产党,国籍,李春英,0,中国,49
《穿越之鸣人传说》是一部连载于17k小说网的网络小说，作者是玖血月,连载网站,穿越之鸣人传说,1,17k小说网,15
王润泽1，女，1983年10月生，山东人，2006年6月毕业于四川外语学院法语专业，现任云南边防总队昆明边防检查站正连职检查员，2007年12月至2008年8月和2009年6月至2010年5月，参加中国第六支、第八支赴海地维和警察防暴队，担任值勤官,毕业院校,王润泽,0,四川外语学院,31
《舌尖上的中国3》开播前就有各种风声吹出，有说李立宏老师不再担任配音了，换成《同桌的你》老狼了，想像不到听着不会饿的《舌尖上的中国》会是什么样子现在导演陈晓卿也换了，攒了3年口水，满满的期待荡然无存，大年初四的晚上坐在电视前看了《舌尖3》第一集，象我这种奔着美食去的吃货一族，妥妥的看了一堆的锅碗标盆美食不有了，看的我眼花缭乱，也可能3不同于1、2风格吧，导演不同了，画风当然不同，可美食还是美食，这个是无法改变的，毕竟才播了一集，在第二集的《香》预告中，看着一道道美食扑面而来，故乡的味道，历久弥新其实看了片头大家就该明白节目制作的初心了——扶贫,导演,舌尖上的中国,1,陈晓卿,76
《死亡塔》 (1981)执行导演《飞龙猛将》 (1988)获奖记录人物评价元奎的动作设计飘逸洒脱，又快速绝伦，能体现中华武术的精髓,导演,飞龙猛将,17,元奎,37
《如果我爱你》是由海润影视与明道工作室联合出品，徐辅军执导，明道、李沁、胡兵、白歆惠、狄杰等人气明星联袂主演的浪漫偶像剧,出品公司,如果我爱你,1,海润影视,9
个人信息姓名：伊万-佩恩 erwan peron (法国)  国籍：法国  性别：男  生日：1980,国籍,伊万-佩恩,7,法国,26
《是我不小心》是陈明演唱的一首歌曲，收录在专辑《相信你总会被我感动》当中,所属专辑,是我不小心,1,相信你总会被我感动,24
覃林盛，湖北力帝机床股份有限公司董事长，在机械制造行业已辛勤耕耘了三十余年，在董事长兼总经理的岗位上也有十多年的经历，并曾在美国学习金融及工商管理，回国后在华中理工大学攻读工商管理获得管理工程硕士学位,毕业院校,覃林盛,0,华中理工大学,78
2015年10月13日，北京龙泉寺举行装藏法会，贤佳法师主持,所在城市,龙泉寺,14,北京,12
0后的第三波主持人：纳豆、夏宇童-(代班2周) 节目改名电玩快打 ver 2,主持人,电玩快打,28,纳豆,10
”观察人士认为，国家宣传在朝鲜三位领导人金日成(kim il-sung)、金正日(kim jong-il)和金正恩(kim jong-un)周围创造了一种近乎神圣的光环，以确保政权的合法性被安全地转移到下一代,国籍,金正恩,54,朝鲜,13
《祖圣》是一部连载于17k小说网的东方玄幻类型的小说，作者是证道,连载网站,祖圣,1,17k小说网,10
彼得·盖布瑞尔（peter gabriel，1950年2月13日－）出生地是英国伦敦，是英国音乐家,国籍,彼得·盖布瑞尔,0,英国,38
佩科维奇，1986年1月出生于塞尔维亚贝尔格莱德，目前效力菲尔特俱乐部,出生地,佩科维奇,0,塞尔维亚贝尔格莱德,15
阿方索十二世是西班牙女王伊莎贝拉二世之子，生于马德里,出生地,阿方索十二世,0,马德里,23
《风雪古城大院人》是连载于17k小说网的热血青春小说，作者是舒穆禄鄂特恩,连载网站,风雪古城大院人,1,17k小说网,13
《我们的少年时代》是由湖南卫视、湖南芒果娱乐有限公司、北京时代峰峻文化艺术发展有限公司、上象星作影视联合出品的青春励志剧,出品公司,我们的少年时代,1,湖南卫视,11
戴冉，男，1964年7月生，1986年毕业于大连海运学院航海系，副教授、硕士生导师,毕业院校,戴冉,0,大连海运学院,22
赵君，男，汉族，1966年8月生，河北定州人，中共党员，博士，教授，博士生导师,出生地,赵君,0,河北定州,17
