sentence,attribute,entity,entity_offset,attribute_value,attribute_value_offset
张冬梅，女，汉族，1968年2月生，河南淇县人，1988年7月加入中国共产党，1989年9月参加工作，中央党校经济管理专业毕业，中央党校研究生学历,民族,张冬梅,0,汉族,6
相关文献明史岳正，字季方，漷县人,字,岳正,6,季方,10
邓卫中（1938-    ）男，汉族，四川宜宾人，四川大学毕业，编审,民族,邓卫中,0,汉族,16
王衮，明朝进士,朝代,王衮,0,明朝,3
《非亲兄弟》是由亚当·麦凯执导，威尔·法瑞尔、约翰·C·赖利主演的家庭喜剧电影，于2008年7月25日在美国上映1,上映时间,非亲兄弟,1,2008年7月25日,41
李志平，男，1969年9月生，汉族，湖北孝南人，1994年7月加入中国共产党，1989年9月参加工作，湖北省委党校公共管理专业毕业，大学本科学历,民族,李志平,0,汉族,15
16播出信息播出时间播出平台参考资料2009年3月20日　　江西卫视、山东卫视、吉林卫视、重庆卫视1剧集评价《战北平》开辟了一个反映重大历史题材剧的新路径，全剧是在史实的基础上做了新的探索，故事在解放北平的大背景下铺陈开来,上映时间,战北平,55,2009年,18
段思平（893年—944年），即大理太祖，白族，大理喜睑（今喜洲）人1，一说为剑川永旁人，大理国的缔造者、开国皇帝,朝代,段思平,0,大理,16
段思平（893年—944年），即大理太祖，白族，大理喜睑（今喜洲）人1，一说为剑川永旁人，大理国的缔造者、开国皇帝,民族,段思平,0,白族,21
段思平（893年—944年），即大理太祖，白族，大理喜睑（今喜洲）人1，一说为剑川永旁人，大理国的缔造者、开国皇帝,朝代,段思平,0,大理国,45
徐桂花，汉族，宁夏大学农学院副院长，硕博导师,民族,徐桂花,0,汉族,4
）野史逸闻董奉字君异，候官县人,字,董奉,5,君异,8
胡建军，男，汉族，1973年3月出生，大学学历，中共党员,民族,胡建军,0,汉,6
刘海龙，博士、副教授，男，汉族，1971,民族,刘海龙,0,汉,13
姬宜臼为避犬戎之难，于公元前770年迁都洛邑，是为周平王，史称东周,朝代,姬宜臼,0,东周,31
夏韵辞，男，汉族,民族,夏韵辞,0,汉族,6
分类信息姓名：安相贤  性别：男  生日：1986/03/05  身高：176Cm  体重：69Kg  国籍：韩国  位置：前锋  俱乐部：首尔FC  俱乐部号码：33号首尔FC俱乐部首尔足球俱乐部（FC Seoul）是一支位于韩国首都首尔的职业足球俱乐部,身高,安相贤,7,176Cm,36
阳成俊，男，汉族，贵州省委党校大学学历,民族,阳成俊,0,汉族,6
黄向静，女，汉族，1965年5月生，大学学历，1986年17月参加工作，中共党员，身体健康,民族,黄向静,0,汉族,6
推背图”是中国四大预言奇书之一（其他三著为北宋邵雍的《梅花诗》，隋朝《步虚大师预言》，明朝刘伯温的《烧饼歌》），相传它是唐朝贞观年中李淳风和袁天罡所著,朝代,邵雍,23,北宋,21
推背图”是中国四大预言奇书之一（其他三著为北宋邵雍的《梅花诗》，隋朝《步虚大师预言》，明朝刘伯温的《烧饼歌》），相传它是唐朝贞观年中李淳风和袁天罡所著,朝代,袁天罡,70,唐朝,60
推背图”是中国四大预言奇书之一（其他三著为北宋邵雍的《梅花诗》，隋朝《步虚大师预言》，明朝刘伯温的《烧饼歌》），相传它是唐朝贞观年中李淳风和袁天罡所著,朝代,李淳风,66,唐朝,60
李玉君，男，汉族，1963年3月生，北京市人，1985年7月入党，1984年7月参加工作，中央党校在职研究生(中央党校社会学专业)，高级政工师,民族,李玉君,0,汉族,6
屈中乾，男，汉族，中共党员，特级教师,民族,屈中乾,0,汉族,6
2013年凭借剧情片《中国合伙人》获得中国电影金鸡奖、中国电影华表奖、大众电影百花奖最佳男主角奖,上映时间,中国合伙人,11,2013年,0
谢柱军，男，汉族，1971年9月生，广西平南县人,民族,谢柱军,0,汉族,6
王海珏，女，1979年4月生，汉族，上海市人，大学学历，公共管理硕士，2004年5月加入中国共产党，2001年7月参加工作,民族,王海珏,0,汉族,15
