head_type,tail_type,relation,index
None,None,None,0
地点,人物,祖籍,1
人物,人物,父亲,2
地点,企业,总部地点,3
地点,人物,出生地,4
目,生物,目,5
Number,行政区,面积,6
Text,机构,简称,7
Date,影视作品,上映时间,8
人物,人物,妻子,9
音乐专辑,歌曲,所属专辑,10
Number,企业,注册资本,11
城市,国家,首都,12
人物,影视作品,导演,13
Text,历史人物,字,14
Number,人物,身高,15
企业,影视作品,出品公司,16
Number,学科专业,修业年限,17
Date,人物,出生日期,18
人物,影视作品,制片人,19
人物,人物,母亲,20
人物,影视作品,编剧,21
国家,人物,国籍,22
Number,地点,海拔,23
网站,网络小说,连载网站,24
人物,人物,丈夫,25
Text,历史人物,朝代,26
Text,人物,民族,27
Text,历史人物,号,28
出版社,书籍,出版社,29
人物,电视综艺,主持人,30
Text,学科专业,专业代码,31
人物,歌曲,歌手,32
人物,歌曲,作词,33
人物,网络小说,主角,34
人物,企业,董事长,35
Date,机构,成立日期,36
学校,人物,毕业院校,37
Number,机构,占地面积,38
语言,国家,官方语言,39
Text,行政区,邮政编码,40
Number,行政区,人口数量,41
城市,景点,所在城市,42
人物,图书作品,作者,43
Date,企业,成立日期,44
人物,歌曲,作曲,45
气候,行政区,气候,46
人物,电视综艺,嘉宾,47
人物,影视作品,主演,48
作品,影视作品,改编自,49
人物,企业,创始人,50
